address,value
0x2b785444242aB6A6BD4d3077A1A31f543381026d,1
0x2cA07b080814aEE25DBC67018c16dc083d62F1A2,1
0xc78C5564333BFC50172904CDF484952E0576cFD9,1
0x3A293Bed8818746230A8F50E5AA8bbDA9C10B7Cc,1
0x86486335295f0DF2E4f1C93fA3CC352c5EA2340A,1
0x3458cbB61B6ad1B34a3e4866A704ECfCAF643574,1
0xB029D0B856eb75eF623cd3A17Ac25FAe5BD788c9,1
0x8bB158aD93EA83862c78eab949bC56c68f6ea033,1
0xa0eF6F1Ae13533876a0429E76AD9BA7Bd3E9B826,1
0x7E16D42beF7355cDfD0F38aBFb9B58Fd286311f8,1
0x5D0D1899A2AEF853EFE149D210FD2dB5Fc9F9317,1
0x6085fd075cBcCdF5E31b7925cB8963AE36A29F95,1
0x455b38243F8EA43835B434572400B453Dc333DF6,1
0xeAe28C8c1bB0b6D544483E09d7F0B0B2dD042d6d,1
0x909f3FFeE72155c170a5978C69fF1a41a290b39C,1
0xB3c4a1F12A13081eB00953E3f0Ac54A76EcdCfE2,1
0x88Df4D4240d4F388A88d9edC1DbC7D0154B996Cf,1
0x23253559632Ed2C8DfB6b6e10e85D03C871c7d68,1
0xe528C0b4AA42C22F9C2a2fE7cD84b82aED6Ac94c,1
0xA163DbCCa129e34A1d7e8C7f4CD4b46bB33De3A5,1
0x62d930E9cb68390066A8e229EA276BDF0Fa2d604,1
0x10546B8246EE5a4c292Eaf3e4A218Cc87c5af431,1
0xdDb7cD31d1Af24aF51c0D5168fe36554a8E0ac4b,1
0xAe52B37699C108Dd347AF73E956782dF99336A22,1
0x26D8594541BA311912e162F2A2143dd741eC4Af8,1
0x16b98831B16A712a9C006a275FAE7c5a96D7398b,1
0x2C211300f266802935CcC11804bDE24cE3ea78E5,1
0xEe3168EBa262e401B37b9D9E920D723cCf0A31d7,1
0x2B3FB3c8794CB04Ce73Af6D42944Df5171e392b9,1
0x19be5c904E673cde6F43392e278a0BdF8414e89F,1
0x5a6693b86d9a105A03828FF7d5DcaAB47a23d678,1
0x20d801Dbee0505F9a77CFF40f5fed6Ff0f0ee9D6,1
0xEa795cBc94b35C9895A8Db5DE6CcF634280E37f8,1
0x6F46Dbfe491d12a7e093FCB2ADC98aE6DAC584B9,1
0x00000082Bc916568Cb4479D3a218daFa60eBBA25,1
0x1ba77cF2e4838111Ec6da0f5f492E1921f1b13ff,1
0xDBb06EA8E0C25B19D99302d7A1cB44229E92F654,1
0x53ef8d20c8E5f38A06E076dEfD851206d881d02f,1
0xabF7fb03deb53a4766539790Fc9bD50C26BF6BB5,1
0x9cA6f766642545C017399667Bf83b4bccC419EB6,1
0xB0974a6c9Dc94bC97a6e8e738F9b5214B4AE3578,1
0xa40f3d3f17897b1c1958aB8aC245b9d073FB36Aa,1
0xbA8617BeaB2593d68F0E19512cF2B67f8Ea58591,1
0xE11F531230277793d6bD17F1acafe29a4E22db44,1
0x8529fF932945FD2a14c76D3Df67AA8f90be42827,1
0x59Ef980B151EEf3C98D7aa34FA7664D0258D04C3,1
0x956f248B94713AdE7Ad10D92ACFD2700037bf3F4,1
0xBB5e3a84471195B4dD918Ef6cDb86Cf708c5A487,1
0xB7eFbeF85c5B9004b5E0913733D6B0cD4508d116,1
0xA5ea844e13EA3B4B7966A928F5D22035A93392Ee,1
0x82Ab58A9e5E0A08E563f81B115b8f49D09266017,1
0x074aCE8639D92578F73a5Db34131fdf944204184,1
0xa6e579Db46fD3Cf99e2494Bc6f06B47D185ceFf3,1
0x3DeF0038D0493b2Ba32B45193e99673c901cc3BF,1
0x3cd27eE3c314453f1633814C91685B5700F7f92c,1
0x6C33B5B7F17E73591b0C8926abda0A4D76BE2DBA,1
0x3C7676976600C90c8d106786d84bda4369f872a8,1
0xa39067823dFEb943471bB252B772e59b9e55eC0E,1
0x6ddBb5c8db240270DdbEA4A40d31042037aD2288,1
0x7Af898Bd35cD16Eae8c58b1Fe8fe7A2180856E96,1
0x604b290324f15A03dAaf4646e27e7D0931574e48,1
0xE1D07A2F3dcFff8D6FB7A8191211167367e0B393,1
0x93f9DC674216E934D5156CABaDEBc12F7748b3b2,1
0xeDc59b9D5a17636F0F02898F21796626399AbFf6,1
0x99Dc5648b582852387164a7b85A32777Ed04EAb3,1
0xC5a239256901cC58c0eC87B8F4903a390E30CbDf,1
0x35Be3DCDd5BE6B5DaC2397A85c7c71c2aD67eA3e,1
0x9D70D890f937812542D1A0F83fd398255447c85e,1
0xe1928b96858Ee4C39D8C2438C0fBd4CCabB1061F,1
0x486D1dBe17ddAB5747536017FDDC9804410F9144,1
0x6d3fB03cc874155EA1844052efC2deF432C84cA5,1
0x2364a12500Ea6Cd88F760fbd403D4198aE3113B0,1
0x9070D8705a65618B302891b320eCDc6ecF0285bB,1
0x171cBab9417ba0f75BC5E298a2dB8b4F6bf3EAcc,1
0x06aB699799Ce9A8234D3a33d06bF82D205ddf54D,1
0x0Df7d0421c1DCf808f7F6Da8DF66D38041fd1DD9,1
0xE3141ebdC114A1B5AB6e732243aBd2a7b3C04694,1
0x3D2007714532330fD60395E3ab330D0E12614954,1
0x12376D377f5eE19dA097100F4337A64218FD3068,1
0x0046ecc1e0748EA8a40aA688Aa592feA9f38Bb40,1
0x9744Ab296781536b76a12aD6D48baba814B866E7,1
0x13232923B503Af65d9b71365e36242456DDAcc4B,1
0xf7FD79239684f4Dd4F780503B077da4Fb2d21BbC,1
0xB9a86197147d500033e086250c7D91C8aCC17366,1
0x890C946D1022De32eA5dC35059415d88342a1d14,1
0x1162C4e0833E16CCd399b1a8756285e31686d127,1
0xA70A285d7025B05aeCf974D9cC4079A146e27F06,1
0xc3B5FA76c1f632A56f2FE2A0788Dd71Da1DA5de2,1
0x777b7B5Ed986759951214A8dFfA83Db291c1c20D,1
0xdad8513017F9C66316e650953A2Eb775867ab54F,1
0xf35e21e96F4a607f3fDbbE29083eab428cca27c8,1
0x95bF978F4c2a7931B7F14D62B3353c8466c63a07,1
0x5F88232833127050A75F0eE57266A41dD80A4632,1
0x99367a45DC6dEae68D2eD9D24271314B98150D11,1
0x4941D85AE5C9a0143aed0140CAcD6d8A8E77A9ad,1
0x53020C3bB76936091be8b5166B97FCd35baA6e63,1
0x4Fd204B0169EC363f1c027D982f356F5E95D132E,1
0x9a9bF95c4bbe82705151879FAb44c29a3d126Acf,1
0xF01c9994a01AC28879F003aCe473515756C0Ac4d,1
0x1fBBD9803F74D43AcED0b10A9FCA4fe61cb245e9,1
0xE27890A9F122c6DF6F27a6Fb92970334777016Dd,1
0x0B4E4315b3417a7eF23d66A3b0FB9Cdc2c4057a7,1
0xed09E593D9fb246371185A232C3429bDfD5C914F,1
0xf0c6424F747F35d6f5b3911041BDCed5d0B79C98,1
0x971A352a7954E58d325236B46A3C7667C50AffA1,1
0xB69Ff989537df67053Edc9eff2926A346b60c0a5,1
0x9610161888B349451dA0c68193eb27E11D98b828,1
0x04231f1Fd9Fd3f6b03AA02acDDb08cCCDcB9D424,1
0xF4e2d6359B14C7ccDdA126F8A9A4A9E5548C9551,1
0x134D230fAb42d29Ce0C00b4C0d8CB9067054CF19,1
0x8a666F4CD3b67C6E1dc44E29e7bfE30e854EbCdC,1
0x03E2eB6DDd2Ab239d67339424Ae3D07bc0c2B22f,1
0xe8471636dC10bd7453c38F80593B887A35A413fB,1
0x16d3b0B7f6d911f7a4d3739b687cd4333c72aFCb,1
0xbD1aC09F094727E09FDe72Db370C203fB46B558F,1
0xb8750e8b645Fb2ADa6787291aaB0D1e70fDE819A,1
0x4F7468cb8C45d867cCA064D06b1412A12CE9f59b,1
0x2a07d416985f091c22eDEB55E922e0D51a64B2d6,1
